ds,y
2021-07-24 19:02:22,22.6
2021-07-24 19:04:22,22.5
2021-07-24 19:06:22,22.5
2021-07-24 19:08:22,22.5
2021-07-24 19:10:22,22.5
2021-07-24 19:12:23,22.5
2021-07-24 19:14:22,22.4
2021-07-24 19:16:22,22.3
2021-07-24 19:18:22,22.3
2021-07-24 19:20:22,22.3
2021-07-24 19:22:22,22.3
2021-07-24 19:24:23,22.3
2021-07-24 19:26:22,22.3
2021-07-24 19:28:22,22.4
2021-07-24 19:30:22,22.3
2021-07-24 19:32:23,22.1
2021-07-24 19:34:22,22.1
2021-07-24 19:36:22,22.1
2021-07-24 19:38:22,22.0
2021-07-24 19:40:22,21.9
2021-07-24 19:42:22,21.9
2021-07-24 19:44:22,21.8
2021-07-24 19:46:22,21.8
2021-07-24 19:48:22,21.8
2021-07-24 19:50:22,21.9
2021-07-24 19:52:22,22.0
2021-07-24 19:54:22,22.0
2021-07-24 19:56:22,21.9
2021-07-24 19:58:22,21.9
2021-07-24 20:00:22,22.0
2021-07-24 20:02:23,22.1
2021-07-24 20:04:22,22.1
2021-07-24 20:06:22,22.1
2021-07-24 20:08:22,22.1
2021-07-24 20:10:22,22.1
2021-07-24 20:12:22,22.1
2021-07-24 20:14:22,22.1
2021-07-24 20:16:22,22.2
2021-07-24 20:18:22,22.1
2021-07-24 20:20:22,22.2
2021-07-24 20:22:22,22.2
2021-07-24 20:24:22,22.1
2021-07-24 20:26:23,22.1
2021-07-24 20:28:22,22.1
2021-07-24 20:30:22,22.1
2021-07-24 20:32:22,22.0
2021-07-24 20:34:22,22.0
2021-07-24 20:36:22,21.9
2021-07-24 20:38:22,21.8
2021-07-24 20:40:22,21.7
2021-07-24 20:42:22,21.6
2021-07-24 20:44:22,21.5
2021-07-24 20:46:22,21.5
2021-07-24 20:48:22,21.4
2021-07-24 20:50:22,21.4
2021-07-24 20:52:22,21.3
2021-07-24 20:54:22,21.3
2021-07-24 20:56:21,21.3
2021-07-24 20:58:22,21.3
2021-07-24 21:00:22,21.4
2021-07-24 21:02:22,21.4
2021-07-24 21:04:22,21.3
2021-07-24 21:06:22,21.3
2021-07-24 21:08:21,21.2
2021-07-24 21:10:22,21.3
2021-07-24 21:12:22,21.2
2021-07-24 21:14:22,21.1
2021-07-24 21:16:23,21.2
2021-07-24 21:18:22,21.1
2021-07-24 21:20:22,21.1
2021-07-24 21:22:21,21.1
2021-07-24 21:24:22,21.1
2021-07-24 21:26:22,21.1
2021-07-24 21:28:22,21.1
2021-07-24 21:30:22,21.1
2021-07-24 21:32:22,21.1
2021-07-24 21:34:21,21.0
2021-07-24 21:36:22,21.0
2021-07-24 21:38:21,21.0
2021-07-24 21:40:21,20.9
2021-07-24 21:42:22,20.9
2021-07-24 21:44:22,20.8
2021-07-24 21:46:21,20.8
2021-07-24 21:48:21,20.8
2021-07-24 21:50:22,20.7
2021-07-24 21:52:22,20.6
2021-07-24 21:54:21,20.6
2021-07-24 21:56:22,20.6
2021-07-24 21:58:21,20.6
2021-07-24 22:00:21,20.5
2021-07-24 22:02:21,20.5
2021-07-24 22:04:22,20.6
2021-07-24 22:06:22,20.6
2021-07-24 22:08:22,20.6
2021-07-24 22:10:21,20.6
2021-07-24 22:12:21,20.6
2021-07-24 22:14:22,20.6
2021-07-24 22:16:22,20.6
2021-07-24 22:18:21,20.6
2021-07-24 22:20:22,20.6
2021-07-24 22:22:21,20.5
2021-07-24 22:24:22,20.4
2021-07-24 22:26:21,20.4
2021-07-24 22:28:21,20.4
2021-07-24 22:30:22,20.4
2021-07-24 22:32:22,20.4
2021-07-24 22:34:21,20.4
2021-07-24 22:36:21,20.3
2021-07-24 22:38:22,20.3
2021-07-24 22:40:22,20.3
2021-07-24 22:42:21,20.1
2021-07-24 22:44:21,20.0
2021-07-24 22:46:22,19.9
2021-07-24 22:48:21,19.9
2021-07-24 22:50:21,19.8
2021-07-24 22:52:21,19.6
2021-07-24 22:54:22,19.5
2021-07-24 22:56:22,19.5
2021-07-24 22:58:21,19.4
2021-07-24 23:00:22,19.4
2021-07-24 23:02:21,19.4
2021-07-24 23:04:21,19.4
2021-07-24 23:06:21,19.4
2021-07-24 23:08:22,19.3
2021-07-24 23:10:21,19.3
2021-07-24 23:12:21,19.3
2021-07-24 23:14:21,19.1
2021-07-24 23:16:22,19.1
2021-07-24 23:18:21,19.1
2021-07-24 23:20:21,19.0
2021-07-24 23:22:21,19.1
2021-07-24 23:24:21,19.1
2021-07-24 23:26:21,19.1
2021-07-24 23:28:21,18.9
2021-07-24 23:30:21,18.9
2021-07-24 23:32:21,18.9
2021-07-24 23:34:21,18.9
2021-07-24 23:36:22,19.0
2021-07-24 23:38:21,19.1
2021-07-24 23:40:21,19.1
2021-07-24 23:42:21,19.2
2021-07-24 23:44:21,19.2
2021-07-24 23:46:21,19.3
2021-07-24 23:48:21,19.1
2021-07-24 23:50:21,19.1
2021-07-24 23:52:21,18.9
2021-07-24 23:54:22,18.9
2021-07-24 23:56:21,18.8
2021-07-24 23:58:21,18.8
2021-07-25 00:00:21,18.8
2021-07-25 00:02:21,18.8
2021-07-25 00:04:21,18.8
2021-07-25 00:06:21,18.8
2021-07-25 00:08:21,18.8
2021-07-25 00:10:21,18.9
2021-07-25 00:12:21,19.1
2021-07-25 00:14:21,19.1
2021-07-25 00:16:21,19.1
2021-07-25 00:18:21,19.1
2021-07-25 00:20:22,19.3
2021-07-25 00:22:21,19.4
2021-07-25 00:24:21,19.6
2021-07-25 00:26:22,19.6
2021-07-25 00:28:21,19.8
2021-07-25 00:30:21,19.8
2021-07-25 00:32:21,19.8
2021-07-25 00:34:22,19.9
2021-07-25 00:36:22,19.9
2021-07-25 00:38:21,19.9
2021-07-25 00:40:21,19.8
2021-07-25 00:42:21,19.7
2021-07-25 00:44:21,19.7
2021-07-25 00:46:21,19.8
2021-07-25 00:48:21,19.8
2021-07-25 00:50:21,19.8
2021-07-25 00:52:21,19.8
2021-07-25 00:54:21,19.8
2021-07-25 00:56:21,19.9
2021-07-25 00:58:21,19.8
2021-07-25 01:00:21,19.8
2021-07-25 01:02:21,19.6
2021-07-25 01:04:21,19.7
2021-07-25 01:06:21,19.7
2021-07-25 01:08:21,19.7
2021-07-25 01:10:21,19.6
2021-07-25 01:12:21,19.7
2021-07-25 01:14:21,19.7
2021-07-25 01:16:21,19.6
2021-07-25 01:18:21,19.5
2021-07-25 01:20:21,19.4
2021-07-25 01:22:21,19.4
2021-07-25 01:24:21,19.3
2021-07-25 01:26:21,19.3
2021-07-25 01:28:22,19.3
2021-07-25 01:30:22,19.1
2021-07-25 01:32:21,19.1
