ds,y
2021-07-30 19:34:15,74.4
2021-07-30 19:36:15,74.4
2021-07-30 19:38:15,74.4
2021-07-30 19:40:15,74.4
2021-07-30 19:42:15,74.4
2021-07-30 19:44:16,74.4
2021-07-30 19:46:16,74.4
2021-07-30 19:48:15,74.4
2021-07-30 19:50:15,74.4
2021-07-30 19:52:15,74.4
2021-07-30 19:54:16,74.4
2021-07-30 19:56:16,74.4
2021-07-30 19:58:15,74.4
2021-07-30 20:00:16,74.4
2021-07-30 20:02:15,74.5
2021-07-30 20:04:15,74.5
2021-07-30 20:06:15,74.5
2021-07-30 20:08:15,74.5
2021-07-30 20:10:15,74.5
2021-07-30 20:12:15,74.5
2021-07-30 20:14:15,74.5
2021-07-30 20:16:15,74.5
2021-07-30 20:18:15,74.5
2021-07-30 20:20:15,74.5
2021-07-30 20:22:15,74.5
2021-07-30 20:24:15,74.5
2021-07-30 20:26:15,74.5
2021-07-30 20:28:15,74.5
2021-07-30 20:30:15,74.5
2021-07-30 20:32:15,74.5
2021-07-30 20:34:15,74.5
2021-07-30 20:36:15,74.5
2021-07-30 20:38:15,74.5
2021-07-30 20:40:16,74.5
2021-07-30 20:42:16,74.5
2021-07-30 20:44:16,74.5
2021-07-30 20:46:16,74.5
2021-07-30 20:48:16,74.5
2021-07-30 20:50:16,74.5
2021-07-30 20:52:16,74.5
2021-07-30 20:54:15,74.5
2021-07-30 20:56:15,74.5
2021-07-30 20:58:15,74.5
2021-07-30 21:00:15,74.5
2021-07-30 21:02:15,74.5
2021-07-30 21:04:15,74.5
2021-07-30 21:06:15,74.5
2021-07-30 21:08:15,74.6
2021-07-30 21:10:15,74.5
2021-07-30 21:12:15,74.5
2021-07-30 21:14:15,74.5
2021-07-30 21:16:15,74.5
2021-07-30 21:18:15,74.5
2021-07-30 21:20:15,74.6
2021-07-30 21:22:15,74.5
2021-07-30 21:24:15,74.5
2021-07-30 21:26:15,74.6
2021-07-30 21:28:15,74.5
2021-07-30 21:30:15,74.6
2021-07-30 21:32:15,74.6
2021-07-30 21:34:16,74.6
2021-07-30 21:36:16,74.6
2021-07-30 21:38:16,74.6
2021-07-30 21:40:16,74.6
2021-07-30 21:42:16,74.6
2021-07-30 21:44:15,74.6
2021-07-30 21:46:16,74.6
2021-07-30 21:48:15,74.6
2021-07-30 21:50:15,74.6
2021-07-30 21:52:16,74.6
2021-07-30 21:54:15,74.6
2021-07-30 21:56:15,74.6
2021-07-30 21:58:15,74.6
2021-07-30 22:00:15,74.6
2021-07-30 22:02:15,74.6
2021-07-30 22:04:15,74.6
2021-07-30 22:06:15,74.6
2021-07-30 22:08:15,74.6
2021-07-30 22:10:15,74.6
2021-07-30 22:12:15,74.6
2021-07-30 22:14:15,74.6
2021-07-30 22:16:15,74.6
2021-07-30 22:18:15,74.6
2021-07-30 22:20:15,74.7
2021-07-30 22:22:15,74.7
2021-07-30 22:24:15,74.7
2021-07-30 22:26:15,74.7
2021-07-30 22:28:15,74.7
2021-07-30 22:30:15,74.7
2021-07-30 22:32:16,74.7
2021-07-30 22:34:16,74.7
2021-07-30 22:36:16,74.7
2021-07-30 22:38:16,74.7
2021-07-30 22:40:16,74.7
2021-07-30 22:42:16,74.7
2021-07-30 22:44:16,74.7
2021-07-30 22:46:15,74.7
2021-07-30 22:48:15,74.7
2021-07-30 22:50:15,74.7
2021-07-30 22:52:15,74.7
2021-07-30 22:54:15,74.7
2021-07-30 22:56:15,74.7
2021-07-30 22:58:15,74.7
2021-07-30 23:00:15,74.7
2021-07-30 23:02:15,74.7
2021-07-30 23:04:15,74.7
2021-07-30 23:06:15,74.8
2021-07-30 23:08:15,74.7
2021-07-30 23:10:15,74.8
2021-07-30 23:12:15,74.8
2021-07-30 23:14:15,74.8
2021-07-30 23:16:15,74.8
2021-07-30 23:18:15,74.8
2021-07-30 23:20:15,74.8
2021-07-30 23:22:16,74.8
2021-07-30 23:24:16,74.8
2021-07-30 23:26:16,74.8
2021-07-30 23:28:16,74.8
2021-07-30 23:30:15,74.8
2021-07-30 23:32:15,74.8
2021-07-30 23:34:16,74.9
2021-07-30 23:36:16,74.9
2021-07-30 23:38:15,74.9
2021-07-30 23:40:15,74.9
2021-07-30 23:42:15,74.9
2021-07-30 23:44:15,74.9
2021-07-30 23:46:15,74.9
2021-07-30 23:48:15,74.9
2021-07-30 23:50:15,74.9
2021-07-30 23:52:15,74.9
2021-07-30 23:54:15,75.0
2021-07-30 23:56:15,75.0
2021-07-30 23:58:15,74.9
2021-07-31 00:00:15,74.9
2021-07-31 00:02:15,75.0
2021-07-31 00:04:15,75.0
2021-07-31 00:06:15,75.0
2021-07-31 00:08:15,75.0
2021-07-31 00:10:15,75.0
2021-07-31 00:12:15,75.0
2021-07-31 00:14:15,75.0
2021-07-31 00:16:16,75.0
2021-07-31 00:18:16,75.0
2021-07-31 00:20:15,75.0
2021-07-31 00:22:16,75.0
2021-07-31 00:24:16,75.0
2021-07-31 00:26:16,75.1
2021-07-31 00:28:15,75.1
2021-07-31 00:30:15,75.1
2021-07-31 00:32:15,75.1
2021-07-31 00:34:15,75.1
2021-07-31 00:38:15,75.1
2021-07-31 00:40:15,75.1
2021-07-31 00:42:15,75.1
2021-07-31 00:44:15,75.1
2021-07-31 00:46:15,75.1
2021-07-31 00:48:15,75.1
2021-07-31 00:50:15,75.1
2021-07-31 00:52:15,75.1
2021-07-31 00:54:15,75.1
2021-07-31 00:56:15,75.1
2021-07-31 00:58:15,75.2
2021-07-31 01:00:15,75.2
2021-07-31 01:02:15,75.2
2021-07-31 01:04:15,75.2
2021-07-31 01:06:15,75.2
2021-07-31 01:08:15,75.2
2021-07-31 01:10:15,75.2
2021-07-31 01:12:16,75.2
2021-07-31 01:14:15,75.2
2021-07-31 01:16:15,75.2
2021-07-31 01:18:15,75.2
2021-07-31 01:20:15,75.2
2021-07-31 01:22:15,75.2
2021-07-31 01:24:15,75.2
2021-07-31 01:26:15,75.2
2021-07-31 01:28:15,75.2
2021-07-31 01:30:15,75.2
2021-07-31 01:32:15,75.3
2021-07-31 01:34:15,75.2
2021-07-31 01:36:15,75.3
2021-07-31 01:38:15,75.2
2021-07-31 01:40:15,75.3
2021-07-31 01:42:15,75.3
2021-07-31 01:44:15,75.3
2021-07-31 01:46:15,75.3
2021-07-31 01:48:15,75.3
2021-07-31 01:50:15,75.3
2021-07-31 01:52:15,75.3
2021-07-31 01:54:15,75.3
2021-07-31 01:56:15,75.3
